Zone,month,ratio
Canada,1,0.09562864553916779
Canada,2,0.08863771677103283
Canada,3,0.08860644533466688
Canada,4,0.07576817355319551
Canada,5,0.07253465483420347
Canada,6,0.07341470890254277
Canada,7,0.0843565384246148
Canada,8,0.08542276548465508
Canada,9,0.07771619130341681
Canada,10,0.08008342998238047
Canada,11,0.08520215843133551
Canada,12,0.092628571438788
East,1,0.08333333333964525
East,2,0.08333333370948047
East,3,0.08333333350349133
East,4,0.08333333342121346
East,5,0.08333333439980549
East,6,0.0833333329023389
East,7,0.08333333341608343
East,8,0.08333333283051653
East,9,0.08333333233339266
East,10,0.08333333342429725
East,11,0.08333333274524644
East,12,0.08333333397448785
Mexico,1,0.09999999861962319
Mexico,2,0.09583333279868202
Mexico,3,0.08749999863440212
Mexico,4,0.08333333354920273
Mexico,5,0.0749999995771528
Mexico,6,0.07083333382404855
Mexico,7,0.06666666660447938
Mexico,8,0.07291666787049399
Mexico,9,0.07916666801827095
Mexico,10,0.08333333336253114
Mexico,11,0.08958333461893364
Mexico,12,0.09583333252217958
USA,1,0.09186723352082336
USA,2,0.07832475811888663
USA,3,0.07676458127121821
USA,4,0.06921151621476196
USA,5,0.07760552856690545
USA,6,0.09009636881750596
USA,7,0.10353427549523134
USA,8,0.10299913298661194
USA,9,0.08484297524794933
USA,10,0.07451567052725128
USA,11,0.07217988286381219
USA,12,0.07805807636904287
