loc_uid,Zone
"25.8, -97.8",Mexico
"26.6, -81.7",USA
"27.0, -80.5",USA
"27.6, -82.3",USA
"27.7, -82.4",USA
"27.9, -82.4",USA
"28.3, -100.8",Mexico
"28.4, -81.1",USA
"28.8, -81.3",USA
"29.0, -110.9",Mexico
"29.4, -95.6",USA
"29.4, -98.4",USA
"29.7, -81.6",USA
"29.9, -96.7",USA
"30.2, -93.2",USA
"30.4, -81.5",East
"30.5, -97.0",USA
"30.7, -91.3",USA
"31.4, -96.2",USA
"31.8, -96.0",USA
"32.0, -93.5",USA
"32.2, -94.5",USA
"32.3, -81.1",USA
"33.0, -83.8",USA
"33.0, -94.8",USA
"33.0, -95.0",USA
"33.1, -83.2",USA
"33.2, -86.4",USA
"33.3, -112.8",USA
"33.3, -79.3",East
"33.3, -80.1",USA
"33.4, -85.0",USA
"33.6, -87.0",USA
"33.6, -87.2",USA
"34.1, -102.5",USA
"34.1, -84.9",USA
"34.3, -109.1",USA
"34.4, -109.2",USA
"34.4, -92.1",USA
"34.8, -85.7",USA
"34.9, -110.3",USA
"35.0, -90.1",USA
"35.1, -114.5",USA
"35.2, -101.7",USA
"35.5, -80.9",USA
"35.6, -91.4",USA
"35.7, -95.2",USA
"36.1, -95.3",USA
"36.2, -80.0",USA
"36.3, -86.4",USA
"36.3, -87.6",USA
"36.4, -79.0",USA
"36.4, -97.0",USA
"36.5, -89.5",USA
"36.6, -108.4",USA
"36.8, -108.4",USA
"36.8, -78.7",USA
"36.9, -111.3",USA
"37.1, -88.7",USA
"37.2, -86.9",USA
"37.2, -88.8",USA
"37.9, -87.0",USA
"37.9, -87.3",USA
"38.0, -85.9",USA
"38.1, -82.6",USA
"38.1, -90.2",USA
"38.2, -89.8",USA
"38.3, -76.9",USA
"38.3, -87.7",USA
"38.3, -94.6",USA
"38.4, -81.8",USA
"38.4, -90.3",USA
"38.5, -87.2",USA
"38.5, -90.8",USA
"38.6, -83.6",USA
"38.7, -83.8",USA
"38.7, -85.0",USA
"38.7, -85.4",USA
"38.8, -84.2",USA
"38.9, -81.9",USA
"38.9, -82.1",USA
"38.9, -84.2",USA
"38.9, -88.2",USA
"38.9, -90.2",USA
"39.0, -87.5",USA
"39.0, -89.4",USA
"39.1, -111.1",USA
"39.1, -76.5",East
"39.1, -84.8",USA
"39.2, -79.2",USA
"39.2, -96.1",USA
"39.3, -111.0",USA
"39.3, -80.3",USA
"39.3, -81.2",USA
"39.5, -112.5",USA
"39.5, -81.6",USA
"39.5, -89.4",USA
"39.5, -92.6",USA
"39.7, -79.9",USA
"39.8, -79.9",USA
"39.8, -80.8",USA
"39.9, -87.4",USA
"40.0, -76.6",USA
"40.1, -74.7",USA
"40.1, -81.8",USA
"40.2, -80.6",USA
"40.3, -79.0",USA
"40.4, -107.5",USA
"40.5, -79.1",USA
"40.5, -80.6",USA
"40.5, -89.6",USA
"40.6, -74.2",USA
"40.6, -79.3",USA
"40.6, -80.4",USA
"40.6, -95.7",USA
"40.7, -73.9",USA
"41.0, -101.1",USA
"41.0, -76.6",USA
"41.0, -92.5",USA
"41.1, -95.8",USA
"41.2, -87.0",USA
"41.3, -91.0",USA
"41.4, -88.1",USA
"41.6, -81.4",USA
"41.6, -88.0",USA
"41.7, -108.8",USA
"41.7, -110.5",USA
"41.7, -71.1",USA
"41.8, -83.4",USA
"42.1, -104.9",USA
"42.2, -96.3",USA
"42.3, -71.1",East
"42.3, -96.3",USA
"42.5, -87.9",USA
"42.7, -82.4",Canada
"42.8, -105.7",USA
"42.8, -87.8",USA
"42.9, -86.2",USA
"43.4, -89.4",USA
"43.7, -87.7",USA
"44.2, -105.3",USA
"44.8, -89.6",USA
"45.3, -93.8",USA
"45.8, -106.6",USA
"47.0, -101.2",USA
"47.2, -101.3",USA
"47.2, -93.6",USA
"47.3, -101.1",USA
"47.3, -101.8",USA
"47.9, -65.9",East
"49.0, -102.8",Canada
"49.0, -103.0",Canada
"49.0, -105.4",Canada
